seed,dataset,model,n_groups,coda_threshold_updates,coda_damping_events,coda_lambda_mean,coda_lambda_max,coda_lambda_final,coda_dpr_mean,coda_dpr_std,coda_tau_initial_group_0,coda_tau_final_group_0,coda_tau_mean_group_0,coda_tau_range_group_0,coda_tau_initial_group_1,coda_tau_final_group_1,coda_tau_mean_group_1,coda_tau_range_group_1,coda_tau_initial_group_2,coda_tau_final_group_2,coda_tau_mean_group_2,coda_tau_range_group_2,coda_tau_initial_group_3,coda_tau_final_group_3,coda_tau_mean_group_3,coda_tau_range_group_3,coda_tau_initial_group_4,coda_tau_final_group_4,coda_tau_mean_group_4,coda_tau_range_group_4
42,adult_race,logistic_regression,5,5388.0,1978.0,4.093106709657608,5.0,5.0,0.18710589358006158,0.2002630456566146,0.5,0.3961901774931556,0.561353926773998,0.22406403267024771,0.3,0.18000000000000005,0.3216444050349236,0.2399999999999996,0.4,0.5199999999999998,0.48242348090083575,0.11999999999999977,0.5,0.38000000000000067,0.4018754762229394,0.11999999999999933,0.15,0.2699999999999999,0.23883597949793786,0.11999999999999988
42,adult_race,xgboost,5,5388.0,1617.0,4.127999385843697,5.0,5.0,0.14735547801109208,0.15521259677774615,0.45,0.5243440690791036,0.5420806537689488,0.12000000000000016,0.45,0.33000001316361827,0.4504908635883074,0.2399999868363819,0.35,0.4699999999999997,0.444206794855055,0.11999999999999972,0.6,0.4800000000000002,0.5012284970981118,0.11999999999999988,0.35,0.2300000000000001,0.2868309534776601,0.11999999999999988
42,recruitment_gender,logistic_regression,3,22329.0,3511.0,4.685768883490601,5.0,5.0,0.6787812093039325,0.15040331900976778,0.5,0.5567866744162693,0.4891445447580406,0.23999999999999855,0.5,0.38000000000000067,0.40090136304565765,0.21730084965346896,0.45,0.4719199400153624,0.38420080577911303,0.23999999999998756,,,,,,,,
42,recruitment_gender,xgboost,3,22315.0,3139.0,4.666025623594187,5.0,5.0,0.6842110268668737,0.1480047896785122,0.45,0.4746490706654244,0.43353894476994,0.23999999999999977,0.55,0.43000000000000016,0.45207574193001154,0.23999999999999977,0.5,0.47521002617137215,0.4263183350479634,0.23999999999999988,,,,,,,,
52,adult_race,logistic_regression,5,5479.0,2087.0,4.197859665284815,5.0,5.0,0.14384495080865467,0.1147880848286431,0.5,0.6149000000000011,0.5899956277225806,0.23999999981382392,0.6,0.4800000000000002,0.5128972823583604,0.11999999999999988,0.4,0.5199999999999998,0.499441040994933,0.11999999999999977,0.55,0.4300000000000007,0.4494465538461544,0.11999999999999933,0.2,0.3199999999999996,0.2669248218248815,0.11999999999999961
52,adult_race,xgboost,5,5479.0,1662.0,4.1629669890987255,5.0,5.0,0.10017766877574011,0.07033948380395767,0.5,0.6002000000000003,0.581864906231493,0.11999999999999988,0.55,0.43000000000000016,0.4627656774363361,0.11999999999999988,0.2,0.31999999999999995,0.30041927988883244,0.11999999999999994,0.75,0.6300000000000001,0.6493482390100214,0.11999999999999988,0.2,0.2,0.19999999999999998,0.0
52,recruitment_gender,logistic_regression,3,22358.0,3406.0,4.4409758572246805,5.0,2.76213528845994,0.6660723630178221,0.16301607706915058,0.5,0.3801005398715782,0.48522266715990975,0.23999999999999855,0.5,0.4190404226616417,0.41311716118197733,0.23999999999999855,0.45,0.3379854148434741,0.40522270699148305,0.23999999999999955,,,,,,,,
52,recruitment_gender,xgboost,3,22128.0,3556.0,4.2861805408220555,5.0,3.4164395695433836,0.677222618671986,0.16257021338875938,0.45,0.33009843289233193,0.4073565292216896,0.23999999999999977,0.55,0.43825726404675713,0.4584405386192091,0.2399999999999996,0.45,0.3841159820195652,0.40327005964677315,0.23999999999999977,,,,,,,,
62,adult_race,logistic_regression,5,5542.0,2276.0,4.211331797942576,5.0,5.0,0.2822547898808728,0.20922450704849033,0.5,0.38,0.552627284947855,0.23999999999999988,0.4,0.28000000000000014,0.34225479306667594,0.23999999999956956,0.35,0.4699999999999999,0.4508056942159636,0.11999999999999994,0.4,0.28000000000000014,0.2984521434914788,0.11999999999999988,0.3,0.18000000000000005,0.27723940044162415,0.2374919464285713
62,adult_race,xgboost,5,5542.0,2025.0,4.250581913096883,5.0,5.0,0.31815843560148677,0.22351939643105131,0.5,0.6182635929537375,0.5726358314282685,0.23996889586969766,0.35,0.31234997845865864,0.3240050133810296,0.2399999999999997,0.65,0.7700000000000001,0.6372489939273732,0.23999999999999977,0.6,0.4800000000000003,0.4981049322892679,0.11999999999999966,0.15,0.26999999999999996,0.2515210225702441,0.11999999999999997
62,recruitment_gender,logistic_regression,3,22119.0,3411.0,4.4183462224937635,5.0,5.0,0.6813439782576458,0.1474095816793301,0.5,0.45153607134878304,0.4986374708133772,0.2399999999999996,0.5,0.38000000000001644,0.40815973818666773,0.2399999999999996,0.5,0.4585624650624562,0.42593598622236656,0.2399999999999996,,,,,,,,
62,recruitment_gender,xgboost,3,22218.0,3735.0,4.361973667645172,5.0,5.0,0.6830090260988442,0.14297264687856343,0.45,0.40077786966029405,0.42640664581720644,0.23999999999999977,0.5,0.38,0.409979312491153,0.19523700000000144,0.55,0.46950332925406135,0.4764384752228797,0.23999999999999977,,,,,,,,
