hyperparameter,hp_value,seed,dataset,model,accuracy,demographic_parity_ratio,intervention_rate
eta,0.01,42,adult,xgboost,0.8527560264087211,0.8519759438549658,0.06310456011054813
eta,0.05,42,adult,xgboost,0.8526024873330262,0.8590584718338288,0.06479348994319054
eta,0.1,42,adult,xgboost,0.8524489482573315,0.868211643524518,0.06617534162444343
eta,0.25,42,adult,xgboost,0.8522954091816367,0.8691622186997644,0.06571472439735913
eta,0.5,42,adult,xgboost,0.852141870105942,0.8532400659865144,0.06310456011054813
eta,1.0,42,adult,xgboost,0.8515277138031629,0.8550829171009561,0.06341163826193766
ema_alpha,0.05,42,adult,xgboost,0.8507600184246891,0.8814527901267334,0.06786427145708583
ema_alpha,0.1,42,adult,xgboost,0.8522954091816367,0.8691622186997644,0.06571472439735913
ema_alpha,0.2,42,adult,xgboost,0.8518347919545525,0.8526658029188159,0.0627974819591586
ema_alpha,0.35,42,adult,xgboost,0.852141870105942,0.8532400659865144,0.06310456011054813
ema_alpha,0.5,42,adult,xgboost,0.852141870105942,0.8538180540038413,0.06341163826193766
ema_alpha,0.7,42,adult,xgboost,0.852141870105942,0.8538180540038413,0.06341163826193766
ema_alpha,1.0,42,adult,xgboost,0.852141870105942,0.8538180540038413,0.06341163826193766
warmup,5.0,42,adult,xgboost,0.852141870105942,0.8532400659865144,0.06310456011054813
warmup,15.0,42,adult,xgboost,0.852141870105942,0.8532400659865144,0.06310456011054813
warmup,30.0,42,adult,xgboost,0.852141870105942,0.8532400659865144,0.06310456011054813
warmup,50.0,42,adult,xgboost,0.8513741747274681,0.8801749929291856,0.06786427145708583
warmup,100.0,42,adult,xgboost,0.8522954091816367,0.8730350415440986,0.06694303700291725
warmup,200.0,42,adult,xgboost,0.8535237217871948,0.8608281142952584,0.06602180254874866
max_deviation,0.02,42,adult,xgboost,0.8608935974205435,0.7043760980633695,0.058037770612620915
max_deviation,0.05,42,adult,xgboost,0.855980346998311,0.7840575984678066,0.06632888070013819
max_deviation,0.08,42,adult,xgboost,0.8542914171656687,0.844380181159004,0.06955320128972824
max_deviation,0.12,42,adult,xgboost,0.852141870105942,0.8532400659865144,0.06310456011054813
max_deviation,0.15,42,adult,xgboost,0.8483033932135728,0.8736434158633891,0.06018731767234761
max_deviation,0.2,42,adult,xgboost,0.8281897742975587,0.99038066060825,0.08613542146476279
lambda_cap,1.0,42,adult,xgboost,0.852141870105942,0.8532400659865144,0.06310456011054813
lambda_cap,2.0,42,adult,xgboost,0.8512206356517734,0.8714121887960409,0.06648241977583295
lambda_cap,3.0,42,adult,xgboost,0.8519883310302472,0.8736080612506583,0.06602180254874866
lambda_cap,5.0,42,adult,xgboost,0.852141870105942,0.8532400659865144,0.06310456011054813
