hyperparameter,hp_value,metric,mean,std,ci_low,ci_high,n
accuracy_floor,0.001,accuracy,0.7673517033637426,0.08013915892684702,0.7032270210867922,0.8314763856406929,6
accuracy_floor,0.001,demographic_parity_ratio,0.9868229657829292,0.059125635524958656,0.9395126041166477,1.0341333274492106,6
accuracy_floor,0.001,intervention_rate,0.09862459023389429,0.030811782219216564,0.07397002969629986,0.12327915077148872,6
accuracy_floor,0.01,accuracy,0.7676823032995129,0.08025041204959467,0.7034685999841084,0.8318960066149175,6
accuracy_floor,0.01,demographic_parity_ratio,0.9829473907563685,0.06814175668548021,0.928422629631307,1.03747215188143,6
accuracy_floor,0.01,intervention_rate,0.09813631509929248,0.031789420178181926,0.07269948127183529,0.12357314892674967,6
accuracy_floor,0.02,accuracy,0.7688414711362772,0.08075719174175378,0.7042222596126598,0.8334606826598946,6
accuracy_floor,0.02,demographic_parity_ratio,0.9787297913031701,0.06586571363451828,0.9260262439198802,1.03143333868646,6
accuracy_floor,0.02,intervention_rate,0.09772545697975804,0.03096677057594397,0.0729468799280791,0.12250403403143698,6
accuracy_floor,0.05,accuracy,0.7687217941528052,0.08175607751702388,0.7033033075453473,0.834140280760263,6
accuracy_floor,0.05,demographic_parity_ratio,0.9725264518249482,0.06695568081132074,0.9189507490579394,1.026102154591957,6
accuracy_floor,0.05,intervention_rate,0.0973180875061404,0.031249243478471214,0.07231348505852561,0.1223226899537552,6
accuracy_floor,0.1,accuracy,0.7674512215788426,0.08311301072499873,0.7009469622730231,0.8339554808846621,6
accuracy_floor,0.1,demographic_parity_ratio,0.9652839367931731,0.06196591572893787,0.9157008776329745,1.0148669959533718,6
accuracy_floor,0.1,intervention_rate,0.10052392117152326,0.034613274463542495,0.07282753332241174,0.12822030902063478,6
accuracy_floor,0.2,accuracy,0.7687515201218912,0.08230561517537036,0.702893311807685,0.8346097284360974,6
accuracy_floor,0.2,demographic_parity_ratio,0.962090244198354,0.06105752669982607,0.9132340476438489,1.010946440752859,6
accuracy_floor,0.2,intervention_rate,0.09928307456664641,0.03287854406096058,0.07297476013122361,0.1255913890020692,6
