Candidate_ID,Gender,Age,Education_Level,Experience_Years,Skill_Score,Aptitude_Test_Score,Technical_Test_Score,Communication_Score,Certifications_Count,Previous_Companies,Interview_Score,Location,Job_Role_Applied,Expected_Salary,Hiring_Decision
1,Male,50,Bachelors,19,48,75,70,65,2.0,5,92,Urban,HR Executive,22214,1
2,Other,36,Bachelors,18,9,53,46,25,2.0,4,77,Semi-Urban,Data Analyst,130094,0
3,Female,58,Masters,11,1,85,62,72,1.0,3,90,Urban,ML Engineer,78652,0
4,Male,48,Masters,0,74,35,79,67,6.0,3,9,Urban,HR Executive,144618,0
5,Male,37,Bachelors,0,64,99,25,38,7.0,5,24,Urban,Data Analyst,133865,0
6,Male,59,High School,10,92,95,71,68,0.0,0,10,Urban,Software Engineer,26830,1
7,Male,39,Masters,4,39,57,50,21,7.0,4,63,Rural,Manager,40257,0
8,Female,27,Masters,2,83,20,0,51,7.0,6,11,Urban,ML Engineer,141090,0
9,Female,38,Bachelors,3,53,13,60,33,1.0,1,26,Urban,Data Analyst,147003,0
10,Female,58,Diploma,1,39,98,7,65,2.0,5,2,Rural,ML Engineer,71587,0
11,Male,46,Masters,14,55,53,84,70,5.0,5,71,Urban,Software Engineer,143539,1
12,Other,48,Bachelors,14,28,4,35,19,2.0,2,51,Semi-Urban,Software Engineer,130033,0
13,Female,27,Masters,10,92,26,63,73,8.0,4,95,Urban,ML Engineer,25183,1
14,Male,59,Diploma,14,12,20,79,72,8.0,7,83,Urban,Software Engineer,35669,0
15,Male,46,Bachelors,13,85,18,14,69,9.0,3,95,Rural,Data Analyst,121951,0
16,Male,55,Diploma,17,85,68,68,54,7.0,3,83,Rural,Software Engineer,78593,1
17,Male,28,Bachelors,2,29,0,2,64,7.0,1,60,Semi-Urban,Software Engineer,72168,0
18,Male,24,Masters,9,2,21,58,12,7.0,7,14,Urban,HR Executive,105695,0
19,Male,37,Bachelors,7,46,25,55,81,3.0,1,59,Urban,Data Analyst,132104,0
20,Male,41,PhD,0,49,31,50,9,4.0,7,21,Urban,Data Analyst,117143,0
21,Female,47,Masters,3,58,23,80,73,6.0,5,88,Semi-Urban,Manager,98480,1
22,Male,59,Bachelors,2,52,78,33,49,0.0,3,40,Urban,HR Executive,120461,0
23,Male,42,PhD,15,68,68,97,4,4.0,3,3,Urban,Manager,75469,1
24,Male,43,Bachelors,13,77,0,75,28,7.0,0,96,Urban,ML Engineer,25503,1
25,Male,23,Diploma,0,68,31,34,63,8.0,7,94,Urban,HR Executive,126306,0
26,Female,51,PhD,5,99,78,86,30,1.0,4,87,Rural,Software Engineer,27418,1
27,Male,28,Bachelors,18,82,39,85,40,1.0,1,21,Rural,Software Engineer,37668,0
28,Male,34,Bachelors,13,26,20,43,26,4.0,5,12,Semi-Urban,Software Engineer,64846,0
29,Male,47,Bachelors,18,46,23,49,85,3.0,1,47,Semi-Urban,Data Analyst,148389,0
30,Male,45,Diploma,9,87,29,70,53,1.0,5,14,Semi-Urban,ML Engineer,101811,0
31,Female,21,Diploma,18,18,98,2,21,5.0,3,37,Rural,Manager,39247,0
