feature,importance,coefficient
capital.gain,2.318152645370461,2.318152645370461
education.num,0.8460678641842521,0.8460678641842521
age,0.44701557064840713,0.44701557064840713
sex,0.41770690228938834,0.41770690228938834
hours.per.week,0.36748295691995253,0.36748295691995253
marital.status,0.3474328868186739,-0.3474328868186739
capital.loss,0.2876026973634603,0.2876026973634603
relationship,0.2324532376176733,-0.2324532376176733
workclass,0.109239525615982,-0.109239525615982
race,0.10384993024464703,0.10384993024464703
education,0.06601844792138113,0.06601844792138113
occupation,0.030235092519141228,-0.030235092519141228
native.country,0.014288485396876147,0.014288485396876147
